Lag,Equation,Variable,Coefficient
1,inflation,inflation.l1,0.5623979374436885
1,inflation,unemployment.l1,0.08208290578287976
1,inflation,interest_rate.l1,0.03879767597109571
1,inflation,industrial_production.l1,0.0528999952194168
1,unemployment,inflation.l1,-0.1398607056365586
1,unemployment,unemployment.l1,-0.3089641427427636
1,unemployment,interest_rate.l1,-0.0894309512595309
1,unemployment,industrial_production.l1,-0.2524457741161239
1,interest_rate,inflation.l1,-0.002688126897283145
1,interest_rate,unemployment.l1,0.002013944104950389
1,interest_rate,interest_rate.l1,0.4132179527941291
1,interest_rate,industrial_production.l1,0.07064254399878891
1,industrial_production,inflation.l1,0.344886783141048
1,industrial_production,unemployment.l1,0.17682061600605575
1,industrial_production,interest_rate.l1,0.17061195135422327
1,industrial_production,industrial_production.l1,0.21935413588309188
2,inflation,inflation.l2,-0.15705647754811985
2,inflation,unemployment.l2,0.14350345730095154
2,inflation,interest_rate.l2,0.01975802925954984
2,inflation,industrial_production.l2,0.08013527655923733
2,unemployment,inflation.l2,0.08255073033925853
2,unemployment,unemployment.l2,-0.18083396422349773
2,unemployment,interest_rate.l2,0.041588548723934665
2,unemployment,industrial_production.l2,-0.023781334933246204
2,interest_rate,inflation.l2,-0.023758028188827877
2,interest_rate,unemployment.l2,0.045941019866446435
2,interest_rate,interest_rate.l2,-0.147218732384194
2,interest_rate,industrial_production.l2,0.07106825046085306
2,industrial_production,inflation.l2,-0.15057319948365136
2,industrial_production,unemployment.l2,0.4967879814668291
2,industrial_production,interest_rate.l2,-0.011175816857117313
2,industrial_production,industrial_production.l2,0.0632253632815668
3,inflation,inflation.l3,0.0793620880934018
3,inflation,unemployment.l3,0.018911559533915566
3,inflation,interest_rate.l3,-0.010946265738796274
3,inflation,industrial_production.l3,0.027456752014381088
3,unemployment,inflation.l3,-0.029495067302980127
3,unemployment,unemployment.l3,-0.03597300788787647
3,unemployment,interest_rate.l3,-0.030281789493426074
3,unemployment,industrial_production.l3,-0.06282615564612734
3,interest_rate,inflation.l3,-0.01849820670936627
3,interest_rate,unemployment.l3,-0.09555178516038579
3,interest_rate,interest_rate.l3,-0.02008174372098416
3,interest_rate,industrial_production.l3,-0.0023737556343343563
3,industrial_production,inflation.l3,0.04428202239019906
3,industrial_production,unemployment.l3,0.3708214792525813
3,industrial_production,interest_rate.l3,0.0013535513815580778
3,industrial_production,industrial_production.l3,0.15847294008816754
4,inflation,inflation.l4,0.0522143162644701
4,inflation,unemployment.l4,-0.05900815091694072
4,inflation,interest_rate.l4,0.00751402547261038
4,inflation,industrial_production.l4,-0.032069692793365724
4,unemployment,inflation.l4,0.0701406539884076
4,unemployment,unemployment.l4,-0.06952125153434523
4,unemployment,interest_rate.l4,0.0017252456364654353
4,unemployment,industrial_production.l4,-0.030458286847695762
4,interest_rate,inflation.l4,-0.05389386269135615
4,interest_rate,unemployment.l4,-0.12461672103155877
4,interest_rate,interest_rate.l4,-0.09087247152390034
4,interest_rate,industrial_production.l4,-0.035322280768802096
4,industrial_production,inflation.l4,-0.04533177329076426
4,industrial_production,unemployment.l4,0.2430157499461112
4,industrial_production,interest_rate.l4,-0.04693481246177312
4,industrial_production,industrial_production.l4,0.14754582564429072
5,inflation,inflation.l5,0.008772642752395187
5,inflation,unemployment.l5,-0.10951176976551771
5,inflation,interest_rate.l5,0.0024300470576374025
5,inflation,industrial_production.l5,-0.04951025376535429
5,unemployment,inflation.l5,-0.0014156852248894327
5,unemployment,unemployment.l5,0.004580869741988754
5,unemployment,interest_rate.l5,-0.021845568890722453
5,unemployment,industrial_production.l5,0.013683992790156758
5,interest_rate,inflation.l5,0.05298921482795344
5,interest_rate,unemployment.l5,-0.0733131395934774
5,interest_rate,interest_rate.l5,0.015414449837122167
5,interest_rate,industrial_production.l5,-0.012485804808155346
5,industrial_production,inflation.l5,-0.016255549613618855
5,industrial_production,unemployment.l5,0.07425161522776069
5,industrial_production,interest_rate.l5,0.016967473604846045
5,industrial_production,industrial_production.l5,0.07083273140963867
6,inflation,inflation.l6,-0.021778680141725227
6,inflation,unemployment.l6,-0.03892307623740297
6,inflation,interest_rate.l6,0.012915604014572788
6,inflation,industrial_production.l6,-0.0015748760491065632
6,unemployment,inflation.l6,0.02756136226736909
6,unemployment,unemployment.l6,-0.09429975053234159
6,unemployment,interest_rate.l6,-0.020984432891124567
6,unemployment,industrial_production.l6,-0.045939299054248914
6,interest_rate,inflation.l6,-0.013251763046798792
6,interest_rate,unemployment.l6,0.0025896346961137647
6,interest_rate,interest_rate.l6,0.0070234959286222375
6,interest_rate,industrial_production.l6,0.0032212164951236247
6,industrial_production,inflation.l6,-0.14474908190955948
6,industrial_production,unemployment.l6,0.21204187057005827
6,industrial_production,interest_rate.l6,-0.01964413397299589
6,industrial_production,industrial_production.l6,0.17259010030361474
7,inflation,inflation.l7,0.13092098837009294
7,inflation,unemployment.l7,0.08351201631746778
7,inflation,interest_rate.l7,0.0040744649625037216
7,inflation,industrial_production.l7,0.046140672761429496
7,unemployment,inflation.l7,-0.02127576510231609
7,unemployment,unemployment.l7,-0.012677069114587294
7,unemployment,interest_rate.l7,0.027114312729497426
7,unemployment,industrial_production.l7,0.0025707683376222502
7,interest_rate,inflation.l7,0.05495356208739467
7,interest_rate,unemployment.l7,0.009083448907933419
7,interest_rate,interest_rate.l7,-0.16135586879803274
7,interest_rate,industrial_production.l7,0.024548500969185386
7,industrial_production,inflation.l7,0.02895771560287619
7,industrial_production,unemployment.l7,0.027590349758912027
7,industrial_production,interest_rate.l7,-0.0021827871519410776
7,industrial_production,industrial_production.l7,0.026884404132584718
8,inflation,inflation.l8,0.009157589991928004
8,inflation,unemployment.l8,0.005038616822187084
8,inflation,interest_rate.l8,0.027490476362735224
8,inflation,industrial_production.l8,0.006581009656083214
8,unemployment,inflation.l8,0.006199803096649425
8,unemployment,unemployment.l8,0.015232399498876484
8,unemployment,interest_rate.l8,-0.04603062222488626
8,unemployment,industrial_production.l8,0.022704254383192214
8,interest_rate,inflation.l8,-0.011548901441899871
8,interest_rate,unemployment.l8,-0.05145554307674336
8,interest_rate,interest_rate.l8,0.13327511078695053
8,interest_rate,industrial_production.l8,-0.03125705077599099
8,industrial_production,inflation.l8,-0.056224058078421506
8,industrial_production,unemployment.l8,0.10142364392348953
8,industrial_production,interest_rate.l8,0.007362356931452621
8,industrial_production,industrial_production.l8,-0.015293510519473648
9,inflation,inflation.l9,-0.033802374382107654
9,inflation,unemployment.l9,-0.19592574848504726
9,inflation,interest_rate.l9,-0.022071756917279178
9,inflation,industrial_production.l9,-0.11800180532781868
9,unemployment,inflation.l9,0.026466622361527116
9,unemployment,unemployment.l9,0.013593247952477513
9,unemployment,interest_rate.l9,0.03700598005144167
9,unemployment,industrial_production.l9,-0.03268098000227815
9,interest_rate,inflation.l9,0.020732638809958695
9,interest_rate,unemployment.l9,-0.06459599785844458
9,interest_rate,interest_rate.l9,0.12073311467095124
9,interest_rate,industrial_production.l9,7.970425058539414e-5
9,industrial_production,inflation.l9,-0.05470729715781613
9,industrial_production,unemployment.l9,0.03959400249850971
9,industrial_production,interest_rate.l9,-0.027955459079554955
9,industrial_production,industrial_production.l9,0.0688181318707939
10,inflation,inflation.l10,0.17937919283186393
10,inflation,unemployment.l10,-0.04616604598995733
10,inflation,interest_rate.l10,0.011532958903199518
10,inflation,industrial_production.l10,-0.011607454700567708
10,unemployment,inflation.l10,-0.04491647454364137
10,unemployment,unemployment.l10,-0.046273986348980944
10,unemployment,interest_rate.l10,0.024907753557322585
10,unemployment,industrial_production.l10,-0.013414022215571555
10,interest_rate,inflation.l10,0.004452792277994722
10,interest_rate,unemployment.l10,-0.05352958285595591
10,interest_rate,interest_rate.l10,-0.08865064193505212
10,interest_rate,industrial_production.l10,-0.013521880530027086
10,industrial_production,inflation.l10,-0.009837488741928966
10,industrial_production,unemployment.l10,-0.14018243727183777
10,industrial_production,interest_rate.l10,-0.06321025565190602
10,industrial_production,industrial_production.l10,0.06535491439457711
